소분류코드,소분류명,중분류코드,등록일시
10101,"과자,껌,초코렛",101,2021-01-26 17:58
10102,빵류,101,2021-01-26 17:58
10103,포스트류,101,2021-01-26 17:58
10201,음료류,102,2021-01-26 17:58
10202,"우유,요구르트",102,2021-01-26 17:58
10203,기타음료류,102,2021-01-26 17:58
10301,가공식품,103,2021-01-26 17:58
10302,건강보조식품,103,2021-01-26 17:58
10303,면세식품,103,2021-01-26 17:58
10304,"전분,분말류",103,2021-01-26 17:58
10305,유아식품류,103,2021-01-26 17:58
10306,라면 국수 당면,103,2021-01-26 17:58
10310,기타가공식품,103,2021-01-26 17:58
10401,냉장식품,104,2021-01-26 17:58
10402,냉동식품,104,2021-01-26 17:58
10403,아이스크림류,104,2021-01-26 17:58
10501,양념류,105,2021-01-26 17:58
10505,가공젓갈류,105,2021-01-26 17:58
10506,김,105,2021-01-26 17:58
10507,면세조미식품,105,2021-01-26 17:58
10599,기타조미식품류,105,2021-01-26 17:58
10601,"커피,프림류",106,2021-01-26 17:58
10602,국산차류,106,2021-01-26 17:58
10603,면세기호식품,106,2021-01-26 17:58
10604,기타기호식품,106,2021-01-26 17:58
10701,캔종류,107,2021-01-26 17:58
10801,소주류,108,2021-01-26 17:58
10802,맥주류,108,2021-01-26 17:58
10803,양주류,108,2021-01-26 17:58
10804,잡주 막걸리 청주,108,2021-01-26 17:58
10807,공병,108,2021-01-26 17:58
10899,기타주류,108,2021-01-26 17:58
10901,기타식품류,109,2021-01-26 17:58
10902,"분유,이유식",109,2021-01-26 17:58
10903,수입식품,109,2021-01-26 17:58
20101,세면류,201,2021-01-26 17:58
20106,면도기류,201,2021-01-26 17:58
20199,기타세면류,201,2021-01-26 17:58
20201,주방세제류,202,2021-01-26 17:58
20202,세탁세제류,202,2021-01-26 17:58
20299,기타세제류,202,2021-01-26 17:58
20301,생활잡화류,203,2021-01-26 17:58
20401,휴지류,204,2021-01-26 17:58
20402,유아위생용품류,204,2021-01-26 17:58
20403,보건위생용품(생리대),204,2021-01-26 17:58
20404,공기정화제류,204,2021-01-26 17:58
20405,살충용품,204,2021-01-26 17:58
20501,애견상품,205,2021-01-26 17:58
20502,악세사리,205,2021-01-26 17:58
30101,야채류,301,2021-01-26 17:58
30102,"두부,콩나물",301,2021-01-26 17:58
30103,풀무원,301,2021-01-26 17:58
30104,제당두부,301,2021-01-26 17:58
30201,과일,302,2021-01-26 17:58
30301,생선류,303,2021-01-26 17:58
30401,건어물류,304,2021-01-26 17:58
30501,계란류,305,2021-01-26 17:58
40101,"양곡,잡곡류",401,2021-01-26 17:58
50101,규격봉투,501,2021-01-26 17:58
50102,판매봉투,501,2021-01-26 17:58
60101,국산담배,601,2021-01-26 17:58
60102,수입담배,601,2021-01-26 17:58
70101,공산품세트,701,2021-01-26 17:58
70102,농수산물세트,701,2021-01-26 17:58
70103,비식품선물세트,701,2021-01-26 17:58
999999,신상품,9999,2021-01-26 17:58
20599,기타비식품,205,2021-01-26 17:58
30601,정육,306,2021-01-26 17:58
10308,반찬류,103,2021-01-26 17:58
